TIME: 25/04/2026 15:28:04,55 | syncing: false | block: 14722297 | peers: 4 
TIME: 25/04/2026 15:28:09,80 | syncing: false | block: 14722298 | peers: 5 
TIME: 25/04/2026 15:28:14,60 | syncing: false | block: 14722298 | peers: 4 
TIME: 25/04/2026 15:28:19,61 | syncing: false | block: 14722299 | peers: 4 
TIME: 25/04/2026 15:28:24,65 | syncing: false | block: 14722299 | peers: 4 
TIME: 25/04/2026 15:28:29,86 | syncing: false | block: 14722299 | peers: 4 
TIME: 25/04/2026 15:28:34,60 | syncing: false | block: 14722300 | peers: 4 
TIME: 25/04/2026 15:28:39,87 | syncing: false | block: 14722300 | peers: 4 
TIME: 25/04/2026 15:28:44,92 | syncing: false | block: 14722300 | peers: 4 
TIME: 25/04/2026 15:28:49,46 | syncing: false | block: 14722301 | peers: 4 
TIME: 25/04/2026 15:28:54,73 | syncing: false | block: 14722301 | peers: 4 
TIME: 25/04/2026 15:28:59,76 | syncing: false | block: 14722301 | peers: 4 
TIME: 25/04/2026 15:29:04,61 | syncing: false | block: 14722302 | peers: 4 
TIME: 25/04/2026 15:29:09,71 | syncing: false | block: 14722302 | peers: 4 
TIME: 25/04/2026 15:29:14,78 | syncing: false | block: 14722302 | peers: 4 
TIME: 25/04/2026 15:29:19,56 | syncing: false | block: 14722303 | peers: 4 
TIME: 25/04/2026 15:29:24,75 | syncing: false | block: 14722303 | peers: 4 
TIME: 25/04/2026 15:29:29,80 | syncing: false | block: 14722303 | peers: 4 
TIME: 25/04/2026 15:29:34,61 | syncing: false | block: 14722304 | peers: 4 
TIME: 25/04/2026 15:29:39,63 | syncing: false | block: 14722304 | peers: 4 
TIME: 25/04/2026 15:29:44,62 | syncing: false | block: 14722304 | peers: 4 
TIME: 25/04/2026 15:29:49,47 | syncing: false | block: 14722305 | peers: 4 
TIME: 25/04/2026 15:29:54,73 | syncing: false | block: 14722305 | peers: 4 
TIME: 25/04/2026 15:29:59,63 | syncing: false | block: 14722305 | peers: 4 
TIME: 25/04/2026 15:30:04,50 | syncing: false | block: 14722306 | peers: 4 
TIME: 25/04/2026 15:30:09,61 | syncing: false | block: 14722306 | peers: 4 
TIME: 25/04/2026 15:30:14,60 | syncing: false | block: 14722306 | peers: 4 
TIME: 25/04/2026 15:30:19,51 | syncing: false | block: 14722307 | peers: 4 
TIME: 25/04/2026 15:30:24,67 | syncing: false | block: 14722307 | peers: 4 
TIME: 25/04/2026 15:30:29,70 | syncing: false | block: 14722307 | peers: 4 
TIME: 25/04/2026 15:30:34,75 | syncing: false | block: 14722308 | peers: 4 
TIME: 25/04/2026 15:30:39,51 | syncing: false | block: 14722308 | peers: 4 
TIME: 25/04/2026 15:30:44,83 | syncing: false | block: 14722308 | peers: 4 
TIME: 25/04/2026 15:30:49,47 | syncing: false | block: 14722309 | peers: 4 
TIME: 25/04/2026 15:30:54,73 | syncing: false | block: 14722309 | peers: 4 
TIME: 25/04/2026 15:30:59,95 | syncing: false | block: 14722309 | peers: 4 
TIME: 25/04/2026 15:31:04,49 | syncing: false | block: 14722310 | peers: 4 
TIME: 25/04/2026 15:31:09,69 | syncing: false | block: 14722310 | peers: 4 
TIME: 25/04/2026 15:31:14,71 | syncing: false | block: 14722310 | peers: 4 
TIME: 25/04/2026 15:31:19,50 | syncing: false | block: 14722311 | peers: 4 
TIME: 25/04/2026 15:31:24,69 | syncing: false | block: 14722311 | peers: 4 
TIME: 25/04/2026 15:31:29,71 | syncing: false | block: 14722311 | peers: 4 
TIME: 25/04/2026 15:31:34,55 | syncing: false | block: 14722312 | peers: 4 
TIME: 25/04/2026 15:31:39,71 | syncing: false | block: 14722312 | peers: 4 
TIME: 25/04/2026 15:31:44,64 | syncing: false | block: 14722312 | peers: 4 
TIME: 25/04/2026 15:31:49,51 | syncing: false | block: 14722313 | peers: 4 
TIME: 25/04/2026 15:31:54,82 | syncing: false | block: 14722313 | peers: 4 
TIME: 25/04/2026 15:31:59,76 | syncing: false | block: 14722313 | peers: 4 
TIME: 25/04/2026 15:32:04,55 | syncing: false | block: 14722314 | peers: 4 
TIME: 25/04/2026 15:32:09,71 | syncing: false | block: 14722314 | peers: 4 
TIME: 25/04/2026 15:32:14,64 | syncing: false | block: 14722314 | peers: 4 
TIME: 25/04/2026 15:32:19,48 | syncing: false | block: 14722315 | peers: 4 
TIME: 25/04/2026 15:32:24,72 | syncing: false | block: 14722315 | peers: 4 
TIME: 25/04/2026 15:32:29,70 | syncing: false | block: 14722315 | peers: 4 
TIME: 25/04/2026 15:32:34,56 | syncing: false | block: 14722316 | peers: 4 
TIME: 25/04/2026 15:32:39,73 | syncing: false | block: 14722316 | peers: 4 
TIME: 25/04/2026 15:32:44,82 | syncing: false | block: 14722316 | peers: 4 
TIME: 25/04/2026 15:32:49,65 | syncing: false | block: 14722317 | peers: 4 
TIME: 25/04/2026 15:32:54,74 | syncing: false | block: 14722317 | peers: 4 
TIME: 25/04/2026 15:32:59,71 | syncing: false | block: 14722317 | peers: 4 
TIME: 25/04/2026 15:33:04,45 | syncing: false | block: 14722318 | peers: 4 
TIME: 25/04/2026 15:33:09,67 | syncing: false | block: 14722318 | peers: 4 
TIME: 25/04/2026 15:33:14,66 | syncing: false | block: 14722318 | peers: 4 
TIME: 25/04/2026 15:33:19,60 | syncing: false | block: 14722319 | peers: 4 
TIME: 25/04/2026 15:33:24,62 | syncing: false | block: 14722319 | peers: 4 
TIME: 25/04/2026 15:33:29,68 | syncing: false | block: 14722319 | peers: 4 
TIME: 25/04/2026 15:33:34,53 | syncing: false | block: 14722320 | peers: 4 
TIME: 25/04/2026 15:33:39,66 | syncing: false | block: 14722320 | peers: 4 
TIME: 25/04/2026 15:33:44,70 | syncing: false | block: 14722320 | peers: 4 
TIME: 25/04/2026 15:33:49,47 | syncing: false | block: 14722321 | peers: 4 
TIME: 25/04/2026 15:33:54,59 | syncing: false | block: 14722321 | peers: 4 
TIME: 25/04/2026 15:33:59,58 | syncing: false | block: 14722321 | peers: 4 
TIME: 25/04/2026 15:34:04,46 | syncing: false | block: 14722322 | peers: 4 
TIME: 25/04/2026 15:34:09,73 | syncing: false | block: 14722322 | peers: 4 
TIME: 25/04/2026 15:34:14,45 | syncing: false | block: 14722322 | peers: 4 
TIME: 25/04/2026 15:34:19,63 | syncing: false | block: 14722323 | peers: 4 
TIME: 25/04/2026 15:34:24,63 | syncing: false | block: 14722323 | peers: 4 
TIME: 25/04/2026 15:34:29,51 | syncing: false | block: 14722323 | peers: 4 
TIME: 25/04/2026 15:34:34,58 | syncing: false | block: 14722324 | peers: 4 
TIME: 25/04/2026 15:34:39,71 | syncing: false | block: 14722324 | peers: 4 
TIME: 25/04/2026 15:34:44,47 | syncing: false | block: 14722324 | peers: 4 
TIME: 25/04/2026 15:34:49,97 | syncing: false | block: 14722325 | peers: 4 
TIME: 25/04/2026 15:34:54,73 | syncing: false | block: 14722325 | peers: 4 
TIME: 25/04/2026 15:34:59,52 | syncing: false | block: 14722325 | peers: 4 
TIME: 25/04/2026 15:35:04,60 | syncing: false | block: 14722326 | peers: 4 
TIME: 25/04/2026 15:35:09,75 | syncing: false | block: 14722326 | peers: 4 
TIME: 25/04/2026 15:35:14,50 | syncing: false | block: 14722326 | peers: 4 
TIME: 25/04/2026 15:35:19,67 | syncing: false | block: 14722327 | peers: 4 
TIME: 25/04/2026 15:35:24,74 | syncing: false | block: 14722327 | peers: 4 
TIME: 25/04/2026 15:35:29,54 | syncing: false | block: 14722327 | peers: 4 
TIME: 25/04/2026 15:35:34,72 | syncing: false | block: 14722328 | peers: 4 
TIME: 25/04/2026 15:35:39,75 | syncing: false | block: 14722328 | peers: 4 
TIME: 25/04/2026 15:35:44,50 | syncing: false | block: 14722328 | peers: 4 
TIME: 25/04/2026 15:35:49,67 | syncing: false | block: 14722329 | peers: 4 
TIME: 25/04/2026 15:35:54,92 | syncing: false | block: 14722329 | peers: 4 
TIME: 25/04/2026 15:35:59,56 | syncing: false | block: 14722329 | peers: 4 
TIME: 25/04/2026 15:36:04,64 | syncing: false | block: 14722330 | peers: 4 
TIME: 25/04/2026 15:36:09,62 | syncing: false | block: 14722330 | peers: 4 
TIME: 25/04/2026 15:36:14,47 | syncing: false | block: 14722330 | peers: 4 
TIME: 25/04/2026 15:36:19,59 | syncing: false | block: 14722331 | peers: 4 
TIME: 25/04/2026 15:36:24,80 | syncing: false | block: 14722331 | peers: 4 
TIME: 25/04/2026 15:36:29,84 | syncing: false | block: 14722331 | peers: 5 
TIME: 25/04/2026 15:36:34,45 | syncing: false | block: 14722332 | peers: 4 
TIME: 25/04/2026 15:36:39,68 | syncing: false | block: 14722332 | peers: 4 
TIME: 25/04/2026 15:36:44,68 | syncing: false | block: 14722332 | peers: 4 
TIME: 25/04/2026 15:36:49,59 | syncing: false | block: 14722333 | peers: 4 
TIME: 25/04/2026 15:36:54,65 | syncing: false | block: 14722333 | peers: 4 
TIME: 25/04/2026 15:36:59,82 | syncing: false | block: 14722333 | peers: 4 
TIME: 25/04/2026 15:37:04,51 | syncing: false | block: 14722334 | peers: 4 
TIME: 25/04/2026 15:37:09,62 | syncing: false | block: 14722334 | peers: 4 
TIME: 25/04/2026 15:37:14,60 | syncing: false | block: 14722334 | peers: 4 
TIME: 25/04/2026 15:37:19,70 | syncing: false | block: 14722335 | peers: 4 
TIME: 25/04/2026 15:37:24,55 | syncing: false | block: 14722335 | peers: 4 
TIME: 25/04/2026 15:37:29,64 | syncing: false | block: 14722335 | peers: 4 
TIME: 25/04/2026 15:37:34,61 | syncing: false | block: 14722336 | peers: 4 
TIME: 25/04/2026 15:37:39,48 | syncing: false | block: 14722336 | peers: 4 
TIME: 25/04/2026 15:37:44,60 | syncing: false | block: 14722336 | peers: 4 
TIME: 25/04/2026 15:37:49,67 | syncing: false | block: 14722337 | peers: 4 
TIME: 25/04/2026 15:37:54,54 | syncing: false | block: 14722337 | peers: 4 
TIME: 25/04/2026 15:37:59,64 | syncing: false | block: 14722337 | peers: 4 
TIME: 25/04/2026 15:38:04,61 | syncing: false | block: 14722338 | peers: 4 
TIME: 25/04/2026 15:38:09,47 | syncing: false | block: 14722338 | peers: 4 
TIME: 25/04/2026 15:38:14,68 | syncing: false | block: 14722338 | peers: 4 
TIME: 25/04/2026 15:38:19,68 | syncing: false | block: 14722339 | peers: 4 
TIME: 25/04/2026 15:38:24,54 | syncing: false | block: 14722339 | peers: 4 
TIME: 25/04/2026 15:38:29,63 | syncing: false | block: 14722339 | peers: 4 
TIME: 25/04/2026 15:38:34,62 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:39,52 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:40,46 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:43,44 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:43,92 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:44,38 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:44,87 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:45,89 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:46,42 | syncing: false | block: 14722340 | peers: 4 
TIME: 25/04/2026 15:38:48,23 | syncing: false | block: 14722341 | peers: 4 
TIME: 25/04/2026 15:38:49,68 | syncing: false | block: 14722341 | peers: 4 
TIME: 25/04/2026 15:38:51,58 | syncing: false | block: 14722341 | peers: 4 
TIME: 25/04/2026 15:38:56,66 | syncing: false | block: 14722341 | peers: 4 
TIME: 25/04/2026 15:39:01,49 | syncing: false | block: 14722341 | peers: 4 
TIME: 25/04/2026 15:39:06,61 | syncing: false | block: 14722342 | peers: 4 
TIME: 25/04/2026 15:39:11,59 | syncing: false | block: 14722342 | peers: 4 
TIME: 25/04/2026 15:39:16,46 | syncing: false | block: 14722342 | peers: 4 
TIME: 25/04/2026 15:39:18,37 | syncing: false | block: 14722343 | peers: 4 
TIME: 25/04/2026 15:39:19,05 | syncing: false | block: 14722343 | peers: 4 
TIME: 25/04/2026 15:39:22,68 | syncing: false | block: 14722343 | peers: 4 
TIME: 25/04/2026 15:39:23,34 | syncing: false | block: 14722343 | peers: 4 
TIME: 25/04/2026 15:39:28,66 | syncing: false | block: 14722343 | peers: 4 
TIME: 25/04/2026 15:39:33,64 | syncing: false | block: 14722344 | peers: 4 
TIME: 25/04/2026 15:39:38,49 | syncing: false | block: 14722344 | peers: 4 
TIME: 25/04/2026 15:39:43,60 | syncing: false | block: 14722344 | peers: 4 
TIME: 25/04/2026 15:39:48,59 | syncing: false | block: 14722345 | peers: 4 
TIME: 25/04/2026 15:39:53,50 | syncing: false | block: 14722345 | peers: 4 
TIME: 25/04/2026 15:39:58,58 | syncing: false | block: 14722345 | peers: 4 
TIME: 25/04/2026 15:40:03,55 | syncing: false | block: 14722346 | peers: 4 
TIME: 25/04/2026 15:40:08,54 | syncing: false | block: 14722346 | peers: 4 
TIME: 25/04/2026 15:40:13,65 | syncing: false | block: 14722346 | peers: 4 
TIME: 25/04/2026 15:40:18,63 | syncing: false | block: 14722347 | peers: 4 
TIME: 25/04/2026 15:40:23,68 | syncing: false | block: 14722347 | peers: 4 
TIME: 25/04/2026 15:40:28,54 | syncing: false | block: 14722347 | peers: 4 
TIME: 25/04/2026 15:40:33,63 | syncing: false | block: 14722348 | peers: 4 
TIME: 25/04/2026 15:40:38,62 | syncing: false | block: 14722348 | peers: 4 
TIME: 25/04/2026 15:40:43,51 | syncing: false | block: 14722348 | peers: 4 
TIME: 25/04/2026 15:40:48,60 | syncing: false | block: 14722349 | peers: 4 
TIME: 25/04/2026 15:40:53,65 | syncing: false | block: 14722349 | peers: 4 
TIME: 25/04/2026 15:40:58,64 | syncing: false | block: 14722349 | peers: 4 
TIME: 25/04/2026 15:41:03,48 | syncing: false | block: 14722350 | peers: 4 
TIME: 25/04/2026 15:41:08,65 | syncing: false | block: 14722350 | peers: 4 
TIME: 25/04/2026 15:41:13,65 | syncing: false | block: 14722350 | peers: 4 
TIME: 25/04/2026 15:41:18,53 | syncing: false | block: 14722351 | peers: 4 
TIME: 25/04/2026 15:41:23,67 | syncing: false | block: 14722351 | peers: 4 
TIME: 25/04/2026 15:41:28,65 | syncing: false | block: 14722351 | peers: 4 
TIME: 25/04/2026 15:41:33,56 | syncing: false | block: 14722352 | peers: 4 
TIME: 25/04/2026 15:41:38,64 | syncing: false | block: 14722352 | peers: 4 
TIME: 25/04/2026 15:41:43,63 | syncing: false | block: 14722352 | peers: 4 
TIME: 25/04/2026 15:41:48,49 | syncing: false | block: 14722353 | peers: 4 
TIME: 25/04/2026 15:41:53,60 | syncing: false | block: 14722353 | peers: 4 
TIME: 25/04/2026 15:41:58,55 | syncing: false | block: 14722353 | peers: 4 
TIME: 25/04/2026 15:42:03,52 | syncing: false | block: 14722354 | peers: 4 
TIME: 25/04/2026 15:42:08,62 | syncing: false | block: 14722354 | peers: 4 
TIME: 25/04/2026 15:42:13,64 | syncing: false | block: 14722354 | peers: 4 
TIME: 25/04/2026 15:42:18,53 | syncing: false | block: 14722355 | peers: 4 
TIME: 25/04/2026 15:42:23,67 | syncing: false | block: 14722355 | peers: 4 
TIME: 25/04/2026 15:42:28,66 | syncing: false | block: 14722355 | peers: 4 
TIME: 25/04/2026 15:42:33,49 | syncing: false | block: 14722356 | peers: 4 
TIME: 25/04/2026 15:42:38,57 | syncing: false | block: 14722356 | peers: 4 
TIME: 25/04/2026 15:42:43,67 | syncing: false | block: 14722356 | peers: 4 
TIME: 25/04/2026 15:42:48,51 | syncing: false | block: 14722357 | peers: 4 
TIME: 25/04/2026 15:42:53,67 | syncing: false | block: 14722357 | peers: 4 
TIME: 25/04/2026 15:42:58,63 | syncing: false | block: 14722357 | peers: 4 
TIME: 25/04/2026 15:43:03,46 | syncing: false | block: 14722358 | peers: 4 
TIME: 25/04/2026 15:43:08,65 | syncing: false | block: 14722358 | peers: 4 
TIME: 25/04/2026 15:43:13,62 | syncing: false | block: 14722358 | peers: 4 
TIME: 25/04/2026 15:43:18,45 | syncing: false | block: 14722359 | peers: 4 
TIME: 25/04/2026 15:43:23,72 | syncing: false | block: 14722359 | peers: 4 
TIME: 25/04/2026 15:43:28,57 | syncing: false | block: 14722359 | peers: 4 
TIME: 25/04/2026 15:43:33,50 | syncing: false | block: 14722360 | peers: 4 
TIME: 25/04/2026 15:43:38,70 | syncing: false | block: 14722360 | peers: 4 
TIME: 25/04/2026 15:43:43,98 | syncing: false | block: 14722360 | peers: 4 
TIME: 25/04/2026 15:43:49,74 | syncing: false | block: 14722361 | peers: 4 
TIME: 25/04/2026 15:43:54,70 | syncing: false | block: 14722361 | peers: 4 
TIME: 25/04/2026 15:43:59,63 | syncing: false | block: 14722361 | peers: 5 
TIME: 25/04/2026 15:44:04,72 | syncing: false | block: 14722362 | peers: 4 
TIME: 25/04/2026 15:44:09,68 | syncing: false | block: 14722362 | peers: 4 
TIME: 25/04/2026 15:44:14,60 | syncing: false | block: 14722362 | peers: 4 
TIME: 25/04/2026 15:44:19,69 | syncing: false | block: 14722363 | peers: 4 
TIME: 25/04/2026 15:44:24,81 | syncing: false | block: 14722363 | peers: 4 
TIME: 25/04/2026 15:44:29,66 | syncing: false | block: 14722363 | peers: 4 
TIME: 25/04/2026 15:44:34,92 | syncing: false | block: 14722364 | peers: 4 
TIME: 25/04/2026 15:44:39,74 | syncing: false | block: 14722364 | peers: 4 
TIME: 25/04/2026 15:44:44,50 | syncing: false | block: 14722364 | peers: 4 
TIME: 25/04/2026 15:44:49,65 | syncing: false | block: 14722365 | peers: 4 
TIME: 25/04/2026 15:45:02,28 | syncing: false | block: 14722365 | peers: 4 
TIME: 25/04/2026 15:45:07,73 | syncing: false | block: 14722366 | peers: 4 
TIME: 25/04/2026 15:45:12,63 | syncing: false | block: 14722366 | peers: 4 
TIME: 25/04/2026 15:45:17,49 | syncing: false | block: 14722366 | peers: 4 
TIME: 25/04/2026 15:45:22,75 | syncing: false | block: 14722367 | peers: 4 
TIME: 25/04/2026 15:45:27,67 | syncing: false | block: 14722367 | peers: 4 
TIME: 25/04/2026 15:45:32,62 | syncing: false | block: 14722367 | peers: 4 
TIME: 25/04/2026 15:45:37,71 | syncing: false | block: 14722368 | peers: 4 
TIME: 25/04/2026 15:45:42,75 | syncing: false | block: 14722368 | peers: 4 
TIME: 25/04/2026 15:45:47,53 | syncing: false | block: 14722368 | peers: 4 
TIME: 25/04/2026 15:45:52,70 | syncing: false | block: 14722369 | peers: 4 
TIME: 25/04/2026 15:45:57,81 | syncing: false | block: 14722369 | peers: 4 
TIME: 25/04/2026 15:46:02,60 | syncing: false | block: 14722369 | peers: 4 
TIME: 25/04/2026 15:46:07,77 | syncing: false | block: 14722370 | peers: 4 
TIME: 25/04/2026 15:46:12,69 | syncing: false | block: 14722370 | peers: 4 
TIME: 25/04/2026 15:46:17,53 | syncing: false | block: 14722370 | peers: 4 
TIME: 25/04/2026 15:46:25,68 | syncing: false | block: 14722371 | peers: 4 
TIME: 25/04/2026 15:46:30,71 | syncing: false | block: 14722371 | peers: 4 
TIME: 25/04/2026 15:46:35,68 | syncing: false | block: 14722372 | peers: 4 
TIME: 25/04/2026 15:46:40,61 | syncing: false | block: 14722372 | peers: 4 
TIME: 25/04/2026 15:46:45,68 | syncing: false | block: 14722372 | peers: 4 
TIME: 25/04/2026 15:46:50,72 | syncing: false | block: 14722373 | peers: 4 
TIME: 25/04/2026 15:46:56,14 | syncing: false | block: 14722373 | peers: 4 
TIME: 25/04/2026 15:47:01,72 | syncing: false | block: 14722373 | peers: 4 
TIME: 25/04/2026 15:47:06,64 | syncing: false | block: 14722374 | peers: 4 
